31.0	27.0	29.0	20.0	0.7364	0.524	3.53612	11.7933	7.89	6.37	[[19, 29], [26, 31]]	[[7], [8]]	[[20, 31], [26, 32]]
34.0	42.0	30.0	38.0	0.648	0.106	16.3383	5.80748	6.92	9.53	[[16, 29, 38], [46, 33, 41]]	[[11], [11]]	[[30, 37], [34, 42]]
32.0	37.0	31.0	42.0	1.503	0.133	0.775783	0.75404	9.87	3.9	[[11, 27, 34, 42], [43, 45, 31, 37]]	[[14], [11]]	[[43], [37]]
31.0	25.0	30.0	23.0	0.668	3.462	14.2237	1.22906	5.55	4.44	[[23, 30], [25, 31]]	[[10], [9]]	[[23, 31], [25, 31]]
32.0	20.0	30.0	43.0	0.72	0.692	2.12995	2.61935	5.84	5.7	[[9, 15, 30, 43, 62], [59, 57, 32, 19, 18]]	[[10, 14], [10, 6]]	[[30, 44], [33, 20]]
31.0	27.0	30.0	37.0	0.907	1.66	1.28898	0.524459	5.75	5.79	[[30, 37], [31, 27]]	[[10], [10]]	[[30, 38], [32, 28]]
34.0	19.0	32.0	38.0	2.171	0.956	0.504995	0.173099	4.35	4.43	[[4, 8, 8, 19, 21, 21, 22, 32, 32, 33, 34, 36, 37, 37, 42, 43, 44, 48, 48, 49, 54, 55, 55, 55, 58, 61], [5, 5, 15, 35, 28, 41, 7, 34, 53, 25, 49, 26, 19, 62, 23, 27, 30, 26, 47, 29, 52, 22, 34, 38, 27, 20]]	[[11, 13], [11, 6]]	[[32, 38], [34, 21]]
33.0	35.0	33.0	42.0	0.7662	1.018	0.925765	2.12747	9.54	8.05	[[22, 33, 42], [49, 33, 35]]	[[14], [11]]	[[32, 43], [33, 36]]
34.0	33.0	32.0	35.0	0.676	0.147	3.77836	174.617	5.24	7.24	[[34], [32]]	[[11], [10]]	[[35], [33]]
34.0	30.0	30.0	31.0	0.413	0.677	0.768433	1.99567	8.94	7.71	[[31, 62], [30, 13]]	[[10], [9]]	[[32], [31]]
33.0	21.0	32.0	38.0	0.69	0.171	0.715799	99.2958	5.95	8.79	[[38], [21]]	[[13], [6]]	[[38, 41], [21, 29]]
34.0	30.0	31.0	45.0	1.894	2.803	0.310241	0.565903	6.19	8.44	[[3, 12, 17, 26, 31, 32, 34, 38, 40, 43, 44, 44, 44, 45, 49, 49, 53, 53, 55, 62], [57, 26, 33, 36, 34, 42, 24, 51, 36, 53, 3, 45, 48, 30, 24, 41, 26, 33, 34, 50]]	[[14], [9]]	[[32, 37, 37, 43, 44, 45], [34, 26, 35, 56, 54, 30]]
31.0	25.0	30.0	41.0	0.2876	1.607	145.863	1.11275	7.72	8.06	[[29], [31]]	[[10], [10]]	[[30], [31]]
34.0	30.0	31.0	46.0	2.01	0.412	0.408832	1.5514	6.73	7.22	[[31, 40, 45, 46, 61], [33, 58, 29, 59, 12]]	[[15], [9]]	[[32, 47], [34, 30]]
34.0	41.0	33.0	33.0	1.034	2.118	1.30614	0.513796	6.95	8.27	[[32, 33, 62], [34, 40, 28]]	[[11], [11]]	[[32], [34]]
34.0	16.0	31.0	29.0	1.894	0.548	0.310241	2.74056	6.19	9.86	[[10, 29, 31, 62], [41, 16, 34, 55]]	[[10], [5]]	[[31], [16]]
32.0	19.0	28.0	33.0	2.564	1.2449	0.491626	2.1675	6.26	9.54	[[22, 29, 30, 33], [4, 31, 21, 19]]	[[11], [7]]	[[31, 33], [31, 20]]
31.0	28.0	30.0	36.0	0.712	0.124	0.980173	2.3119	7.15	3.52	[[30, 36, 62], [31, 28, 46]]	[[12], [9]]	[[37], [28]]
33.0	32.0	30.0	44.0	2.673	0.453	0.453494	0.817153	9.19	7.02	[[30, 36, 36, 44, 50, 62], [32, 33, 38, 32, 62, 50]]	[[14], [10]]	[[30, 44], [33, 32]]
33.0	28.0	31.0	38.0	1.109	0.7064	0.416799	1.89377	7.74	7.68	[[38], [28]]	[[12], [9]]	[[38], [28]]
32.0	40.0	30.0	36.0	1.967	2.2979	0.413978	0.724398	8.22	6.33	[[30, 36, 47, 49, 58], [32, 40, 36, 42, 49]]	[[11], [11]]	[[30, 37], [31, 42]]
32.0	25.0	30.0	37.0	1.346	1.037	0.659956	4.54489	5.43	3.91	[[29, 37, 37], [32, 25, 51]]	[[12], [8]]	[[37], [25]]
33.0	37.0	31.0	43.0	2.037	0.4789	0.684004	0.998091	4.61	7.17	[[31, 36, 43], [33, 13, 36]]	[[14], [11]]	[[31, 43], [33, 37]]
33.0	20.0	32.0	34.0	0.617	1.069	0.601675	0.792617	6.21	8.04	[[32, 34, 37, 55], [33, 20, 26, 59]]	[[11], [6]]	[[32, 34], [33, 21]]
31.0	41.0	30.0	42.0	1.019	0.573	1.76936	1.63987	6.04	7.56	[[17, 30, 34, 42], [14, 31, 24, 41]]	[[13], [12]]	[[19, 30, 42], [14, 31, 42]]
33.0	37.0	32.0	38.0	1.188	0.401	0.62662	3.76953	4.66	4.83	[[32, 37], [33, 37]]	[[12], [11]]	[[38], [37]]
33.0	40.0	29.0	42.0	0.712	1.223	0.730624	0.661004	9.5	5.72	[[20, 29, 30, 42, 44], [8, 33, 14, 40, 15]]	[[13], [11]]	[[25, 32, 43], [33, 33, 39]]
32.0	22.0	30.0	30.0	0.548	0.451	2.74056	1.60955	9.86	8.72	[[30, 30], [22, 32]]	[[10], [9]]	[[30, 31], [32, 22]]
32.0	35.0	30.0	39.0	0.7638	1.149	1.83489	0.644746	7.61	6.65	[[16, 30, 38, 43], [49, 32, 35, 30]]	[[10], [10]]	[[31], [31]]
30.0	21.0	30.0	34.0	0.732	2.484	20.1827	0.542781	6.31	7.41	[[30, 33, 59], [30, 22, 29]]	[[10], [9]]	[[30], [31]]
