0	25	34	27	33	0.697064	1.28898	9	8
1	28	31	26	32	1.88797	1.21729	10	9
2	32	40	34	33	1.16585	0.532132	11	10
3	23	30	20	32	0.466947	0.690843	8	6
4	21	28	27	30	0.431802	1.19279	8	9
5	28	30	18	32	1.58249	4.58889	9	5
6	30	40	32	38	5.73336	0.593742	10	10
7	31	37	33	24	0.532132	0.84236	11	9
8	31	34	33	44	3.53612	8.72284	11	13
9	30	36	31	31	8.05862	2.02938	10	10
10	34	35	33	23	0.502418	0.75404	11	7
11	35	47	32	24	0.414448	0.619372	12	9
12	31	40	31	32	2.28156	3.53612	12	10
13	31	34	31	27	0.836983	0.77102	11	9
14	31	43	33	36	1.12454	0.992362	11	10
15	32	37	34	21	0.579919	0.427946	10	10
16	32	37	34	25	2.25041	5.59954	12	8
17	30	32	35	19	0.35169	0.540236	11	6
18	31	43	32	29	1.31601	0.794751	11	10
19	24	30	29	35	0.901624	8.22879	8	9
20	30	43	33	27	0.130153	0.443742	14	8
21	23	31	19	32	2.52153	1.36215	10	10
22	31	35	34	25	0.66406	1.21397	11	8
23	30	37	31	23	0.725237	0.95879	11	8
24	33	41	34	27	0.85681	1.36215	13	8
25	31	41	32	30	8.752	1.76936	10	10
26	36	44	31	34	0.989564	82.0064	14	11
27	30	32	34	22	2.58745	0.998091	10	8
28	31	37	30	29	2.56539	1.15797	11	9
29	23	44	8	26	0.0883781	2.11101	14	8
30	31	39	33	22	1.27332	1.08151	13	7
31	31	40	31	28	2.49563	0.497972	11	9
32	37	46	36	28	0.732248	2.58745	12	11
33	31	45	34	27	1.54913	2.74056	14	8
34	25	31	18	33	0.420017	0.758551	8	6
35	31	31	18	32	1.34468	1.97629	10	6
36	25	32	24	32	0.331718	0.405616	9	8
37	20	31	31	32	1.5514	0.79417	9	9
38	30	46	32	22	0.659956	1.50476	15	7
39	28	32	27	31	1.19903	0.657879	10	9
40	23	30	19	31	1.70088	1.60041	8	6
41	31	40	36	30	0.884758	0.524459	12	9
42	30	34	21	32	2.74056	10.0813	10	6
43	32	40	37	39	0.419418	0.724398	11	11
44	21	32	22	34	2.31267	1.71723	10	10
45	31	38	32	24	1.28487	1.28166	12	8
46	30	39	31	23	1.57843	1.54913	12	8
47	35	37	31	26	1.60687	0.968082	12	9
48	32	39	33	31	0.366686	1.89377	13	9
49	22	33	27	33	0.704838	0.371711	10	10
50	30	34	35	29	0.85681	0.456335	11	10
51	31	45	33	29	30.7644	0.491626	10	10
52	31	33	20	31	0.659956	5.80748	10	6
53	31	44	33	21	0.496173	0.793811	15	6
54	31	44	33	34	0.217852	0.742519	15	10
55	27	31	20	31	2.564	0.944593	9	7
56	30	36	32	35	6.92251	1.11202	10	10
57	32	39	32	33	0.794075	0.91377	11	10
58	32	34	32	24	1.56565	0.632149	11	9
59	31	44	33	34	0.435287	1.25229	14	10
60	32	37	32	30	1.28487	4.66337	12	9
61	26	33	28	35	0.669216	0.427946	9	9
62	31	42	33	26	2.00915	3.85813	13	8
63	24	31	28	33	0.499345	0.350369	9	9
64	30	34	32	20	0.442366	0.498573	11	6
65	28	31	21	32	1.00422	0.22039	10	10
66	30	45	34	29	0.381227	0.790355	14	9
67	31	32	29	38	9.37573	3.30476	10	10
68	30	41	31	38	1.00731	0.296649	10	10
69	30	39	31	41	0.659962	3.77836	13	13
70	29	42	31	43	1.54913	2.22005	13	13
71	30	37	31	31	0.849684	1.27419	11	10
72	31	41	33	30	0.575955	0.946861	13	9
73	29	33	25	33	112.324	0.365485	11	10
74	29	31	26	33	1.2512	1.86245	10	9
75	30	38	32	23	1.12573	1.28166	12	7
76	33	47	32	32	0.442463	0.793811	15	10
77	30	41	34	26	2.56539	1.6647	11	10
78	33	36	32	40	3.75165	112.324	11	10
79	31	39	33	22	2.13684	2.01342	13	7
80	30	40	31	29	1.18072	0.583362	11	9
81	30	31	32	43	1.12573	1.6876	10	12
82	31	43	32	23	2.55376	0.989261	10	10
83	30	41	33	25	0.984821	0.48701	10	10
84	33	38	33	21	2.76188	2.56539	12	8
85	26	30	23	31	0.228312	0.413943	10	10
86	33	34	32	22	0.937073	0.35169	11	10
87	31	35	32	20	0.757555	0.180944	10	9
88	33	43	34	28	4.9731	1.33282	11	10
89	31	38	31	18	0.4034	1.61927	13	5
90	30	38	32	22	0.858671	0.774765	12	7
91	22	33	25	33	0.746976	1.2518	8	8
92	12	34	16	34	15.1517	1.98704	11	10
93	10	27	23	26	0.366686	4.49664	9	8
94	31	32	33	22	0.255011	1.32458	10	7
95	23	32	31	34	1.50217	1.50476	9	10
96	32	49	33	26	0.579791	1.2603	16	8
97	29	32	30	16	0.539846	1.29642	10	5
98	32	41	32	26	1.28487	0.42007	11	10
99	30	43	31	35	0.725237	1.97942	14	11
100	31	32	33	21	1.84259	0.569826	10	10
101	33	34	33	29	1.9301	1.21729	11	9
102	33	38	33	43	0.513796	0.524459	12	12
103	31	33	33	35	1.21397	0.263883	10	10
104	30	31	34	19	0.884758	1.28459	10	6
105	33	43	32	31	2.00915	4.9731	13	10
106	24	32	27	33	4.0873	8.11764	8	8
107	30	43	31	31	0.980173	0.420017	10	10
108	34	37	34	30	0.140831	0.642663	12	10
109	31	42	31	29	1.27419	0.697777	10	9
110	34	41	34	21	2.62631	0.794751	11	10
111	23	30	30	34	1.31963	2.29166	8	9
112	21	31	27	33	1.95012	8.22879	8	9
113	32	35	35	22	0.998091	1.9451	11	7
114	30	40	32	24	1.27801	2.69511	13	7
115	30	48	32	27	0.75404	5.34158	16	8
116	27	32	26	33	0.577895	0.822237	9	8
117	31	40	35	32	1.34912	0.415259	11	10
118	26	31	26	34	5.59954	6.17937	9	9
119	30	34	31	23	0.305155	0.540018	11	7
120	23	30	25	32	2.76188	1.14666	10	10
121	32	40	33	31	0.907003	3.42082	13	9
122	31	43	34	36	0.488883	0.966128	14	11
