32.0	34.0	30.0	42.0	2.059	2.486	0.157016	0.427071	1	2	2
33.0	29.0	32.0	39.0	1.075	0.324	1.29553	0.31191	1	2	3
32.0	25.0	30.0	25.0	2.288	1.644	0.109157	0.225346	1	2	4
32.0	23.0	31.0	37.0	0.556	0.8284	0.476351	2.04927	3	2	2
35.0	23.0	32.0	28.0	0.901	1.043	2.71978	3.42082	2	2	2
32.0	25.0	32.0	37.0	1.263	0.7341	0.496173	2.02938	2	1	2
30.0	24.0	29.0	34.0	2.559	2.31	0.237417	0.210544	2	2	4
33.0	22.0	32.0	29.0	2.603	1.9622	0.245174	0.791286	2	2	3
33.0	24.0	31.0	28.0	0.874	1.179	0.282778	1.77476	1	1	2
31.0	25.0	30.0	36.0	0.992	0.996	0.75507	0.484269	2	1	2
31.0	26.0	30.0	37.0	2.494	0.9059	2.63157	1.14362	2	2	2
34.0	26.0	30.0	27.0	1.697	0.647	0.234797	0.625335	2	1	2
34.0	19.0	27.0	33.0	1.716	0.966	0.121499	0.412262	1	1	4
32.0	26.0	29.0	27.0	1.63	1.045	0.434508	0.679116	1	1	3
33.0	26.0	32.0	29.0	2.573	1.045	0.33044	3.97353	2	1	2
32.0	26.0	31.0	38.0	1.816	1.293	0.433588	0.63293	1	2	2
33.0	34.0	30.0	39.0	0.833	0.665	0.705031	0.568474	2	3	3
30.0	38.0	30.0	37.0	1.919	2.801	0.16733	0.196036	2	2	3
32.0	23.0	30.0	34.0	1.919	0.574	0.16733	30.4844	1	1	1
33.0	37.0	31.0	41.0	2.34	3.4119	0.632304	0.790355	2	2	2
31.0	33.0	30.0	40.0	1.926	1.477	0.20498	0.95879	1	1	2
33.0	20.0	32.0	31.0	2.474	1.514	0.273386	0.0444559	0	1	2
30.0	37.0	30.0	39.0	0.676	1.013	13.7122	0.393722	2	1	1
32.0	25.0	33.0	28.0	1.213	0.615	0.57843	17.4243	3	1	1
33.0	40.0	32.0	38.0	0.278	0.583	0.285388	0.414448	1	1	2
32.0	25.0	31.0	27.0	0.2613	1.021	1.67497	0.984821	1	2	2
34.0	21.0	30.0	27.0	2.1549	0.5623	0.576313	6.41507	4	1	1
33.0	24.0	30.0	37.0	2.569	0.484	0.0688426	0.313826	1	1	3
34.0	22.0	32.0	31.0	1.983	1.393	0.110737	1.06871	1	1	1
33.0	26.0	32.0	34.0	1.98	0.668	0.200739	1.11202	1	1	1
31.0	25.0	30.0	38.0	1.26	1.146	0.236741	0.323872	3	2	3
33.0	25.0	31.0	29.0	1.16	1.61	0.569826	0.35827	2	2	2
32.0	24.0	30.0	27.0	0.523	2.5771	30.7644	0.499345	3	2	2
31.0	36.0	30.0	42.0	2.329	1.542	0.180855	0.431802	1	2	2
31.0	30.0	31.0	40.0	1.945	1.009	0.264211	0.265381	3	2	4
31.0	32.0	29.0	38.0	0.613	1.733	0.308779	0.178978	2	2	3
33.0	26.0	33.0	34.0	0.706	0.388	5.51669	1.35052	1	2	2
35.0	31.0	30.0	40.0	2.595	2.719	1.1001	0.547389	3	2	2
33.0	33.0	30.0	40.0	1.076	1.093	1.93342	0.148806	3	1	4
32.0	34.0	31.0	38.0	0.944	1.324	0.461873	2.73255	2	1	4
31.0	38.0	30.0	40.0	0.487	0.31	26.1884	10.694	2	1	2
31.0	23.0	30.0	36.0	3.731	1.23	0.688963	0.900892	2	3	3
31.0	27.0	30.0	39.0	0.481	0.122	1.68018	0.698286	2	3	3
27.0	34.0	28.0	41.0	1.307	2.341	0.337222	0.34366	1	3	4
31.0	29.0	31.0	40.0	2.684	1.604	0.3471	0.429624	2	2	2
32.0	29.0	30.0	37.0	0.204	3.407	0.537842	0.420807	1	1	2
31.0	21.0	30.0	32.0	1.27	1.359	0.375454	0.354169	2	2	2
33.0	26.0	32.0	39.0	0.863	0.681	0.701922	0.652515	1	2	3
33.0	24.0	32.0	34.0	0.216	2.737	112.324	0.532416	1	1	2
34.0	36.0	32.0	41.0	2.225	2.801	0.209185	0.322678	3	2	3
32.0	25.0	30.0	35.0	0.741	0.703	1.88461	0.608176	2	1	3
32.0	21.0	32.0	27.0	2.1336	2.329	0.333094	0.180855	2	2	2
32.0	30.0	30.0	38.0	1.503	1.221	0.182485	0.935727	2	1	1
34.0	26.0	34.0	37.0	0.368	2.4485	0.612995	0.515165	0	1	2
29.0	23.0	31.0	27.0	1.911	1.347	1.01444	0.672073	4	2	2
30.0	23.0	30.0	27.0	0.638	0.873	0.263883	7.95136	1	1	1
32.0	33.0	30.0	40.0	0.949	2.5769	0.448108	0.3171	1	1	3
33.0	25.0	32.0	33.0	0.846	0.412	6.61888	1.5514	3	1	2
33.0	25.0	31.0	25.0	3.368	0.2859	0.516442	2.85404	2	1	2
34.0	24.0	31.0	36.0	0.574	1.005	8.24046	0.465907	3	1	1
34.0	34.0	30.0	41.0	0.975	1.204	0.33961	0.281279	2	2	2
32.0	33.0	32.0	41.0	1.215	1.301	1.92261	1.00731	2	2	1
30.0	22.0	31.0	33.0	0.522	2.688	0.386174	0.647214	5	4	4
32.0	24.0	30.0	25.0	0.746	0.8284	0.944878	2.04927	2	2	2
32.0	28.0	29.0	37.0	0.581	1.531	0.623274	0.27316	2	2	2
32.0	22.0	30.0	34.0	0.147	0.966	174.617	0.183671	1	1	1
33.0	21.0	31.0	35.0	0.432	0.761	0.722514	0.390761	2	2	2
34.0	28.0	32.0	36.0	0.512	1.669	1.89866	0.42007	1	1	1
34.0	36.0	31.0	39.0	3.267	0.86	0.373472	1.27709	2	1	1
32.0	27.0	30.0	40.0	1.003	0.773	0.967002	0.542642	2	2	3
33.0	31.0	32.0	41.0	0.828	1.513	0.363539	0.284997	2	2	2
33.0	35.0	32.0	38.0	1.604	1.834	0.429624	0.244083	1	1	1
32.0	21.0	31.0	31.0	3.0762	1.613	1.19988	0.329478	1	1	2
33.0	33.0	32.0	41.0	1.379	0.533	1.32458	1.00179	1	1	2
32.0	22.0	33.0	34.0	1.457	2.345	0.370012	0.173533	2	2	2
33.0	33.0	32.0	36.0	3.618	0.497	0.802343	0.704838	2	1	2
33.0	22.0	30.0	30.0	1.045	1.221	3.97353	0.935727	2	2	2
33.0	37.0	32.0	38.0	1.874	2.19	0.514909	0.331718	1	1	2
33.0	29.0	32.0	39.0	1.558	0.576	0.251899	0.344627	1	1	2
32.0	36.0	29.0	40.0	0.967	2.5771	0.414278	0.499345	2	2	2
33.0	26.0	30.0	26.0	0.621	0.687	0.279492	0.905358	2	2	2
31.0	27.0	30.0	37.0	0.3321	1.199	1.85003	0.160839	1	1	1
32.0	25.0	30.0	34.0	1.784	1.679	0.15771	0.428846	2	1	2
32.0	25.0	31.0	38.0	1.588	1.324	0.505454	2.73255	0	3	4
33.0	27.0	33.0	30.0	0.323	0.285	0.799366	0.442434	1	1	1
34.0	23.0	32.0	33.0	2.349	0.401	0.493892	3.76953	2	1	1
34.0	24.0	31.0	36.0	1.564	0.124	0.411634	2.3119	1	1	0
32.0	36.0	30.0	39.0	2.35	0.703	0.240996	0.967614	1	2	2
33.0	29.0	29.0	39.0	0.413	0.736	0.768433	8.752	2	1	2
32.0	33.0	33.0	41.0	1.901	1.27	0.45023	0.58613	2	2	2
32.0	24.0	30.0	35.0	0.2415	1.672	2.56394	0.221368	1	1	1
33.0	36.0	31.0	37.0	1.305	1.536	0.303148	0.416352	1	2	2
32.0	26.0	30.0	33.0	0.754	1.919	0.656342	0.16733	4	2	3
33.0	40.0	32.0	39.0	3.331	0.62	0.22646	1.04546	2	1	1
34.0	31.0	32.0	42.0	0.894	3.083	0.440394	0.430397	2	2	2
32.0	20.0	30.0	28.0	1.024	1.025	1.20375	0.3593	2	2	2
31.0	27.0	30.0	39.0	0.7318	0.587	8.72595	1.45014	2	1	1
33.0	26.0	31.0	28.0	0.951	2.304	1.27012	0.0955083	2	1	1
33.0	26.0	31.0	32.0	0.523	0.666	30.7644	0.503581	2	2	2
32.0	31.0	30.0	41.0	1.513	0.573	0.284997	1.63987	2	2	2
33.0	60.0	31.0	54.0	0.569	0.457	0.368835	0.208241	1	2	3
