31.0	34.0	31.0	46.0	2.5771	1.272	0.499345	0.608269	2	2	2
30.0	26.0	31.0	27.0	0.54	0.48	0.773786	1.66312	2	1	1
33.0	21.0	31.0	31.0	0.5792	0.306	3.64503	1.17781	2	1	2
34.0	34.0	31.0	47.0	0.518	0.324	1.02961	1.32656	2	1	2
31.0	24.0	30.0	24.0	1.27	1.021	0.375454	0.984821	2	1	2
30.0	27.0	29.0	17.0	0.213	1.139	1.96637	0.968082	2	1	2
32.0	34.0	30.0	34.0	1.379	0.668	1.32458	14.2237	1	1	1
34.0	30.0	32.0	31.0	0.677	1.011	1.99567	0.990137	2	2	3
33.0	26.0	31.0	32.0	2.08	0.6646	0.442541	2.1642	3	1	3
32.0	20.0	30.0	57.0	0.579	0.729	0.449507	8.15265	0	0	1
32.0	10.0	29.0	21.0	0.515	0.279	1.12738	129.557	1	1	2
31.0	35.0	31.0	55.0	0.951	1.619	1.04344	0.646878	2	1	1
32.0	26.0	32.0	30.0	0.951	0.828	0.518435	0.857598	2	1	4
32.0	7.0	30.0	37.0	0.665	1.015	5.79587	2.25629	2	1	2
31.0	26.0	30.0	37.0	0.6669	0.419	1.06083	1.24277	3	2	2
32.0	14.0	30.0	25.0	1.16	0.5328	0.569826	3.94085	2	1	2
31.0	21.0	30.0	47.0	0.703	0.737	0.527491	7.53902	2	1	1
33.0	42.0	31.0	56.0	0.674	2.726	1.65779	1.103	1	1	1
33.0	25.0	30.0	55.0	0.852	2.719	1.16157	0.547389	2	2	2
33.0	24.0	33.0	38.0	0.477	0.6762	0.619372	1.50217	1	1	1
33.0	25.0	32.0	56.0	0.497	2.3036	41.4598	1.2518	1	1	1
32.0	20.0	31.0	24.0	0.735	1.191	3.47818	2.85086	3	1	2
34.0	27.0	29.0	47.0	0.541	0.522	0.600214	0.860763	3	2	4
33.0	46.0	31.0	48.0	2.391	0.1195	0.129058	2.29166	2	1	1
31.0	17.0	30.0	37.0	2.474	0.529	0.273386	0.698888	2	2	3
33.0	35.0	31.0	47.0	2.3134	2.261	0.905206	0.495175	3	2	3
32.0	33.0	33.0	36.0	1.617	0.516	0.446546	0.947471	1	1	1
33.0	26.0	30.0	33.0	1.21	0.625	0.218155	5.59954	2	1	1
32.0	20.0	29.0	32.0	0.996	0.301	1.04827	0.496694	4	3	4
33.0	9.0	31.0	30.0	1.288	0.301	0.356425	0.496694	3	2	3
32.0	34.0	32.0	52.0	0.2764	1.379	9.24573	1.32458	2	1	1
30.0	14.0	30.0	33.0	0.732	0.454	20.1827	2.06595	2	1	2
33.0	32.0	33.0	29.0	0.6799	0.678	2.5589	5.67844	1	1	1
32.0	27.0	31.0	17.0	1.319	0.895	0.609783	1.34422	2	1	2
33.0	33.0	30.0	31.0	1.6036	0.373	0.257723	0.989261	1	1	1
33.0	30.0	33.0	55.0	0.299	0.734	2.76894	6.74372	1	1	1
32.0	43.0	32.0	55.0	0.509	0.512	1.1146	1.89866	1	1	2
32.0	20.0	29.0	33.0	1.034	0.306	1.30614	1.04433	2	1	2
33.0	21.0	32.0	47.0	0.735	1.221	6.94273	2.69339	2	1	2
31.0	25.0	31.0	11.0	1.874	0.714	0.514909	2.11101	2	2	4
33.0	11.0	29.0	49.0	0.548	0.6695	2.22923	1.28198	4	2	3
31.0	37.0	31.0	58.0	2.096	0.722	0.350369	5.73336	2	0	1
30.0	18.0	29.0	56.0	2.516	0.605	0.583255	18.5945	0	0	1
33.0	22.0	29.0	54.0	1.221	2.3129	0.455652	0.726716	2	1	1
34.0	16.0	30.0	21.0	1.311	1.3	0.341491	0.501975	2	1	4
32.0	31.0	34.0	25.0	0.9992	1.136	1.35526	0.821494	1	1	2
33.0	24.0	32.0	51.0	1.254	1.254	0.255874	0.255874	2	1	2
