0	33.0	34.0	30.0	35.0	1.662	0.674	0.201939	8.40388	4.58	8.09	1	1	1
1	32.0	25.0	33.0	27.0	1.179	1.134	0.983684	0.211609	11.25	7.52	2	1	3
2	30.0	18.0	30.0	38.0	0.889	0.116	1.19535	3.18415	7.52	12.52	2	1	2
3	31.0	26.0	31.0	38.0	1.38	2.652	0.740872	0.167349	6.28	9.6	2	1	1
4	32.0	36.0	32.0	40.0	1.003	2.374	0.641268	0.286214	4.96	4.19	2	1	2
5	33.0	22.0	32.0	40.0	2.717	1.929	0.379834	0.258994	4.51	3.86	2	2	2
6	33.0	21.0	31.0	22.0	0.734	0.985	3.49463	1.36794	6.13	13.14	2	1	2
7	33.0	21.0	29.0	27.0	2.6	2.211	0.355009	0.226698	7.51	4.48	2	2	2
8	31.0	28.0	32.0	43.0	0.512	0.95	67.501	0.667837	3.23	4.77	1	1	1
9	33.0	32.0	32.0	47.0	1.425	0.568	0.501934	0.379571	6.78	7.18	2	2	2
10	33.0	25.0	31.0	28.0	3.248	0.164	0.764396	0.575206	7.76	6.88	2	1	2
11	32.0	35.0	31.0	42.0	2.924	0.524	0.51028	0.554086	6.81	5.41	2	1	2
12	33.0	27.0	33.0	33.0	2.642	1.974	0.246687	0.154775	5.57	5.41	2	1	2
13	29.0	32.0	31.0	34.0	1.96	2.406	0.18966	0.285133	11.57	4.5	1	1	1
14	33.0	40.0	32.0	39.0	0.692	1.493	0.853374	0.274608	8.03	4.47	2	1	2
15	31.0	35.0	31.0	39.0	0.975	0.577	0.630707	2.63872	9.57	11.15	2	1	2
16	34.0	29.0	32.0	21.0	0.909	2.849	1.56279	0.245648	6.67	6.06	2	1	2
17	32.0	36.0	30.0	31.0	1.135	2.003	5.37626	0.548033	6.42	11.52	1	1	1
18	32.0	25.0	29.0	35.0	0.914	0.6	1.15508	0.351628	7.57	12.83	2	1	1
19	33.0	31.0	31.0	28.0	0.503	0.826	0.697056	1.70018	5.51	10.12	1	1	1
20	33.0	26.0	31.0	40.0	0.1244	0.8326	2.37372	1.60497	7.85	7.37	2	1	2
21	37.0	33.0	29.0	42.0	0.4048	0.734	1.13516	0.990064	12.82	6.45	3	1	2
22	31.0	38.0	32.0	41.0	0.629	2.304	0.35998	0.53734	13.47	9.06	3	1	2
23	33.0	23.0	31.0	31.0	1.057	1.505	0.989459	0.455591	9.24	11.04	3	1	2
24	36.0	17.0	31.0	35.0	1.619	2.635	1.14258	0.75814	14.18	5.26	3	1	1
25	32.0	22.0	29.0	28.0	2.304	0.623	0.53734	1.25122	9.06	10.08	2	1	2
26	31.0	40.0	30.0	36.0	0.4442	0.331	0.96948	2.39469	5.97	10.64	2	1	2
27	33.0	30.0	33.0	43.0	1.733	0.972	0.527087	0.578946	4.29	5.32	2	1	2
28	33.0	26.0	31.0	30.0	0.511	1.771	0.891003	0.548198	12.49	7.5	2	1	2
29	30.0	33.0	31.0	37.0	1.04	0.342	2.0942	0.386019	11.7	7.25	2	1	1
30	32.0	24.0	30.0	30.0	0.419	0.572	1.21795	1.43849	6.06	12.5	2	1	2
31	31.0	17.0	30.0	29.0	1.958	1.001	0.0874624	1.57501	7.56	13.63	2	1	1
32	32.0	27.0	30.0	36.0	0.526	1.095	0.369396	0.209626	11.86	11.91	2	1	3
33	35.0	16.0	33.0	25.0	1.902	1.167	0.187565	0.328972	6.87	8.29	2	2	1
34	32.0	31.0	30.0	41.0	0.847	1.145	0.619314	0.846739	6.56	5.9	2	1	2
35	33.0	18.0	31.0	31.0	0.56	3.08	20.4849	0.319646	6.12	8.92	1	1	1
36	30.0	21.0	31.0	35.0	2.55	2.635	0.231573	0.666757	9.32	13.17	3	1	2
37	33.0	31.0	31.0	40.0	2.077	1.09	0.29126	0.97574	4.33	13.02	2	1	2
38	31.0	28.0	30.0	39.0	2.864	3.473	0.364144	0.870815	8.51	13.88	2	1	2
39	32.0	28.0	30.0	33.0	0.128	0.584	29.222	1.33866	12.21	4.97	1	1	1
40	33.0	28.0	31.0	44.0	0.541	0.735	2.60966	5.7682	12.83	13.11	2	1	3
41	33.0	32.0	30.0	43.0	0.519	0.619	0.888483	2.78429	3.19	13.81	2	1	2
42	31.0	33.0	31.0	34.0	1.548	0.487	0.160611	0.930023	4.61	3.61	1	1	1
43	33.0	30.0	31.0	38.0	0.834	0.694	1.7377	0.870905	11.0	12.57	2	1	2
44	33.0	23.0	31.0	43.0	0.911	2.828	0.203653	0.256776	10.43	5.87	4	1	1
45	33.0	31.0	33.0	39.0	1.675	1.594	0.311556	0.214606	5.59	10.28	3	1	2
46	30.0	28.0	33.0	38.0	0.671	0.2425	6.06298	3.08192	11.16	12.33	2	1	2
47	31.0	28.0	32.0	37.0	1.622	0.216	0.246392	0.467993	8.74	11.1	2	1	3
48	31.0	32.0	30.0	40.0	0.353	2.591	0.527164	0.431994	8.04	7.95	2	1	3
49	33.0	20.0	31.0	34.0	0.743	1.726	0.464153	0.532201	7.17	13.5	2	2	2
