35	35.0	27.0	29.0	44.0	0.569	0.512	0.437693	67.501	11.04	3.23	[[27], [44]]	[[9], [14]]	[[27], [44]]
36	32.0	28.0	30.0	42.0	0.869	2.3166	0.305288	0.368795	6.99	5.12	[[32, 28], [30, 42]]	[[10, 9], [10, 14]]	[[32, 28], [30, 42]]
37	30.0	23.0	32.0	31.0	2.633	0.416	1.00157	1.52415	13.29	8.46	[[23], [31]]	[[7], [10]]	[[23, 30], [31, 32]]
38	31.0	27.0	31.0	32.0	0.41	0.17	168.838	0.349784	3.89	5.84	[[31], [31]]	[[9], [10]]	[[31], [31]]
39	33.0	26.0	32.0	44.0	1.541	0.704	0.0894372	6.86245	4.28	4.58	[[26], [44]]	[[8], [14]]	[[26], [44]]
40	25.0	21.0	25.0	25.0	1.155	0.841	1.14833	1.46663	12.99	8.24	[[21], [25]]	[[7], [8]]	[[21], [25]]
41	31.0	28.0	31.0	28.0	1.049	0.904	1.56354	0.272112	7.29	6.74	[[31], [31]]	[[9], [9]]	[[31], [31]]
42	33.0	34.0	32.0	38.0	0.53	3.622	8.0931	0.270154	9.95	3.62	[[33, 34], [32, 38]]	[[11], [10]]	[[33], [32]]
43	30.0	35.0	30.0	36.0	2.926	0.701	0.179134	0.447723	6.4	8.56	[[30, 35], [30, 36]]	[[11], [12]]	[[30, 35], [30, 36]]
44	32.0	34.0	28.0	49.0	2.56	0.867	0.359892	1.20902	8.63	12.84	[[32, 34], [28, 49]]	[[11], [16]]	[[32, 34], [28, 49]]
45	31.0	24.0	30.0	37.0	2.548	1.262	0.206314	0.242286	3.53	5.48	[[31, 24], [30, 37]]	[[8], [12]]	[[24], [37]]
46	31.0	27.0	30.0	32.0	1.212	0.963	0.204572	1.11418	10.52	3.91	[[27], [32]]	[[9], [10]]	[[27], [32]]
47	32.0	28.0	30.0	45.0	1.042	0.616	0.37544	0.492455	4.92	5.31	[[32, 28], [30, 45]]	[[10, 9], [10, 15]]	[[32, 28], [30, 45]]
48	32.0	24.0	32.0	35.0	0.6602	0.725	14.526	0.357625	4.9	5.64	[[32], [32]]	[[10], [10]]	[[32], [32]]
49	34.0	39.0	31.0	42.0	0.806	0.6683	4.07026	5.69195	8.36	13.04	[[34, 39], [31, 42]]	[[13], [14]]	[[34, 39], [31, 42]]
50	31.0	15.0	30.0	39.0	1.018	1.729	1.04844	0.250218	4.85	9.7	[[31, 15], [30, 39]]	[[10], [10]]	[[31, 15], [30, 39]]
51	33.0	41.0	30.0	47.0	1.314	1.975	0.392976	0.20502	6.34	10.75	[[33, 41], [30, 47]]	[[11, 13], [10, 15]]	[[33, 41], [30, 47]]
52	34.0	38.0	32.0	43.0	2.302	0.17	0.643384	0.349784	5.1	5.84	[[34, 38], [32, 43]]	[[11], [10]]	[[34, 38], [32, 43]]
53	32.0	33.0	30.0	32.0	1.353	1.722	0.303978	0.471466	11.87	4.97	[[33], [32]]	[[10], [10]]	[[32], [30]]
54	30.0	25.0	30.0	39.0	1.01	2.555	0.328131	0.54976	4.92	6.59	[[30, 25], [30, 39]]	[[8], [13]]	[[30, 25], [30, 39]]
55	33.0	42.0	32.0	41.0	0.397	0.542	47.8543	1.44584	7.28	9.92	[[33], [32]]	[[11], [10]]	[[33], [32]]
56	28.0	35.0	31.0	32.0	0.598	0.896	0.743624	0.193705	9.53	5.62	[[28, 35], [31, 32]]	[[9], [10]]	[[28, 35], [31, 32]]
57	32.0	40.0	34.0	38.0	1.1	1.158	0.225431	0.862791	5.63	7.49	[[32, 40], [34, 38]]	[[10], [11]]	[[32, 40], [34, 38]]
58	31.0	27.0	31.0	34.0	0.629	2.3471	0.35998	0.930334	13.47	9.82	[[31, 27], [31, 34]]	[[9], [11]]	[[27], [34]]
59	31.0	29.0	30.0	29.0	0.557	0.222	1.2395	0.316937	10.71	9.88	[[31], [30]]	[[9], [9]]	[[31], [30]]
60	33.0	20.0	32.0	32.0	1.614	0.619	0.774827	0.960961	6.03	11.15	[[20, 33], [32, 32]]	[[11], [10]]	[[20, 33], [32, 32]]
61	33.0	17.0	32.0	37.0	0.1302	1.668	4.5882	0.814374	5.07	5.34	[[33, 17], [32, 37]]	[[11], [10]]	[[33, 17], [32, 37]]
62	31.0	23.0	30.0	27.0	1.004	2.626	0.228882	0.442324	9.13	4.5	[[23, 31], [27, 30]]	[[7], [9]]	[[23], [27]]
63	30.0	25.0	31.0	30.0	1.64	0.651	0.378902	1.55103	8.41	9.47	[[25], [30]]	[[8], [10]]	[[25], [30]]
64	33.0	16.0	31.0	29.0	0.129	4.951	12.6678	0.29304	8.55	5.89	[[33], [31]]	[[11], [10]]	[[33], [31]]
65	32.0	42.0	31.0	41.0	1.884	0.687	0.187628	0.3985	5.48	11.34	[[32, 42], [31, 41]]	[[14], [13]]	[[32, 42], [31, 41]]
66	34.0	34.0	33.0	42.0	0.611	2.039	0.229068	0.618702	6.96	9.19	[[34, 34], [33, 42]]	[[11], [14]]	[[34, 34, 34], [33, 33, 42]]
67	31.0	27.0	29.0	43.0	2.562	0.76	0.910946	2.38445	7.46	5.07	[[31, 31, 27], [29, 29, 43]]	[[9], [14]]	[[31, 27], [29, 43]]
68	30.0	35.0	29.0	40.0	0.906	0.625	3.44826	1.40563	9.74	8.54	[[30, 35], [29, 40]]	[[10], [9]]	[[30, 35], [29, 40]]
69	32.0	41.0	32.0	39.0	1.97	0.795	0.546769	0.434248	8.25	5.9	[[32, 41], [32, 39]]	[[13], [13]]	[[32, 32, 41], [32, 32, 39]]
70	33.0	16.0	32.0	34.0	3.032	0.825	0.482705	0.598685	5.1	7.48	[[33, 16], [32, 34]]	[[5, 11], [11, 10]]	[[33, 16], [32, 34]]
71	31.0	42.0	29.0	40.0	0.338	2.76	2.76631	0.271498	4.0	5.51	[[31, 42], [29, 40]]	[[10], [9]]	[[31], [29]]
72	33.0	27.0	32.0	43.0	0.462	0.559	18.9669	5.05494	11.59	9.77	[[33, 27], [32, 43]]	[[11], [10]]	[[33, 27], [32, 43]]
73	32.0	28.0	32.0	29.0	1.544	1.095	1.69859	0.209626	5.5	11.91	[[32], [32]]	[[9], [9]]	[[32], [32]]
74	31.0	17.0	30.0	30.0	1.324	0.359	0.278863	0.548609	7.78	5.57	[[31, 17], [30, 30]]	[[5], [10]]	[[17], [30]]
75	32.0	22.0	30.0	35.0	0.829	1.677	0.464927	0.233218	4.25	8.99	[[32, 22], [30, 35]]	[[10], [10]]	[[32, 22], [30, 35]]
76	31.0	32.0	30.0	39.0	0.667	0.1286	1.22492	2.87989	9.01	9.82	[[31, 32], [30, 39]]	[[10], [13]]	[[31, 32], [30, 39]]
77	32.0	27.0	31.0	30.0	1.459	1.506	1.58828	0.69997	13.49	11.38	[[27], [30]]	[[9], [10]]	[[27], [30]]
78	31.0	26.0	30.0	33.0	0.664	0.545	37.2905	3.17863	7.92	9.48	[[31], [30]]	[[8], [11]]	[[31], [30]]
79	30.0	37.0	32.0	43.0	2.814	0.196	0.50538	8.27189	9.67	9.0	[[30, 37], [32, 43]]	[[12], [14]]	[[37], [43]]
80	35.0	40.0	33.0	40.0	0.857	0.753	0.946812	0.393428	7.32	6.68	[[35, 40], [33, 40]]	[[11], [11]]	[[35, 40], [33, 40]]
81	34.0	26.0	31.0	43.0	0.772	0.33	0.507279	1.35365	5.87	10.12	[[34, 26], [31, 43]]	[[8], [14]]	[[34, 26], [31, 43]]
82	33.0	27.0	31.0	32.0	1.791	2.1255	0.0862406	1.2978	5.43	7.32	[[27], [32]]	[[9], [10]]	[[33, 27], [31, 32]]
83	34.0	34.0	31.0	40.0	1.407	0.734	0.365324	0.990064	5.79	6.45	[[34, 34], [31, 40]]	[[11], [13]]	[[34, 34], [31, 40]]
84	32.0	23.0	30.0	37.0	1.952	2.621	0.608845	0.657413	6.98	9.8	[[32, 23], [30, 37]]	[[7], [12]]	[[32, 23], [30, 37]]
85	32.0	32.0	30.0	40.0	0.699	1.026	3.35316	0.224091	14.97	4.86	[[32], [30]]	[[10], [10]]	[[32, 32, 32], [30, 40, 40]]
86	35.0	32.0	30.0	42.0	2.897	0.574	0.71604	0.629171	12.07	6.67	[[35, 32], [30, 42]]	[[10], [14]]	[[35, 32], [30, 42]]
87	32.0	23.0	30.0	32.0	0.47	1.389	0.785191	2.12425	7.63	8.36	[[32, 23], [30, 32]]	[[7], [10]]	[[23], [32]]
88	34.0	22.0	31.0	32.0	0.731	2.131	0.346516	0.410671	7.48	7.37	[[34, 22], [31, 32]]	[[7], [10]]	[[34, 22], [31, 32]]
89	34.0	26.0	31.0	43.0	0.634	1.071	0.955855	2.38668	11.53	5.63	[[34, 26], [31, 43]]	[[8], [14]]	[[26], [43]]
90	30.0	22.0	30.0	27.0	0.337	2.1232	2.63066	4.24115	9.3	4.92	[[22, 30], [27, 30]]	[[7], [9]]	[[22], [27]]
91	28.0	31.0	29.0	36.0	3.059	0.402	0.286579	1.73763	12.45	6.54	[[31], [36]]	[[10], [12]]	[[31], [36]]
92	33.0	23.0	30.0	36.0	0.642	0.19	9.87006	0.208283	10.23	8.49	[[33], [30]]	[[11], [10]]	[[33], [30]]
93	33.0	35.0	32.0	36.0	0.966	1.716	1.24448	0.155293	9.54	5.68	[[33], [32]]	[[11], [10]]	[[33], [32]]
94	33.0	33.0	33.0	36.0	0.671	0.652	0.967476	1.01844	9.2	7.84	[[33], [36]]	[[11], [12]]	[[33], [36]]
95	32.0	22.0	33.0	29.0	0.978	1.7626	8.80123	1.0854	13.85	13.68	[[32], [33]]	[[10], [11]]	[[32], [33]]
96	33.0	27.0	31.0	37.0	0.617	0.5666	1.49235	1.92682	7.5	5.52	[[33, 27], [31, 37]]	[[9], [12]]	[[33, 27], [31, 37]]
97	32.0	36.0	30.0	46.0	3.177	1.686	0.520951	0.188049	9.08	6.42	[[32, 36], [30, 46]]	[[10], [10]]	[[32, 36], [30, 46]]
